ISO3,Country,Continent,Dimension,Index
ARG,Argentina,South America,PDI,49
AUS,Australia,Oceania,PDI,38
AUT,Austria,Europe,PDI,11
BGD,Bangladesh,Asia,PDI,80
BEL,Belgium,Europe,PDI,65
BRA,Brazil,South America,PDI,69
BGR,Bulgaria,Europe,PDI,70
CAN,Canada,North America,PDI,39
CHL,Chile,South America,PDI,63
CHN,China,Asia,PDI,80
COL,Colombia,South America,PDI,67
CRI,Costa Rica,North America,PDI,35
HRV,Croatia,Europe,PDI,73
DNK,Denmark,Europe,PDI,18
ECU,Ecuador,South America,PDI,78
SLV,El Salvador,North America,PDI,66
EST,Estonia,Europe,PDI,40
FIN,Finland,Europe,PDI,33
FRA,France,Europe,PDI,68
DEU,Germany,Europe,PDI,35
GRC,Greece,Europe,PDI,60
GTM,Guatemala,North America,PDI,95
HKG,Hong Kong,Asia,PDI,68
HUN,Hungary,Europe,PDI,46
IND,India,Asia,PDI,77
IDN,Indonesia,Asia,PDI,78
IRN,Iran,Asia,PDI,58
IRL,Ireland,Europe,PDI,28
ISR,Israel,Asia,PDI,13
ITA,Italy,Europe,PDI,50
JAM,Jamaica,North America,PDI,45
JPN,Japan,Asia,PDI,54
LVA,Latvia,Europe,PDI,44
LTU,Lithuania,Europe,PDI,42
LUX,Luxembourg,Europe,PDI,40
MYS,Malaysia,Asia,PDI,104
MLT,Malta,Europe,PDI,56
MEX,Mexico,North America,PDI,81
MAR,Morocco,Africa,PDI,70
NLD,Netherlands,Europe,PDI,38
NZL,New Zealand,Oceania,PDI,22
NOR,Norway,Europe,PDI,31
PAK,Pakistan,Asia,PDI,55
PAN,Panama,North America,PDI,95
PER,Peru,South America,PDI,64
PHL,Philippines,Asia,PDI,94
POL,Poland,Europe,PDI,68
PRT,Portugal,Europe,PDI,63
ROU,Romania,Europe,PDI,90
RUS,Russia,Europe,PDI,93
SRB,Serbia,Europe,PDI,86
SGP,Singapore,Asia,PDI,74
SVN,Slovenia,Europe,PDI,71
ESP,Spain,Europe,PDI,57
SUR,Suriname,South America,PDI,85
SWE,Sweden,Europe,PDI,31
CHE,Switzerland,Europe,PDI,34
TWN,Taiwan,Asia,PDI,58
THA,Thailand,Asia,PDI,64
TTO,Trinidad and Tobago,North America,PDI,47
TUR,Turkey,Asia,PDI,66
URY,Uruguay,South America,PDI,61
VEN,Venezuela,South America,PDI,81
VNM,Vietnam,Asia,PDI,70
CZE,Czech Republic,Europe,PDI,57
GBR,United Kingdom,Europe,PDI,35
KOR,South Korea,Asia,PDI,60
USA,United States,North America,PDI,40
ARG,Argentina,South America,IDV,46
AUS,Australia,Oceania,IDV,90
AUT,Austria,Europe,IDV,55
BGD,Bangladesh,Asia,IDV,20
BEL,Belgium,Europe,IDV,75
BRA,Brazil,South America,IDV,38
BGR,Bulgaria,Europe,IDV,30
CAN,Canada,North America,IDV,80
